date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:49:03	40782/40782	---M--	200	added ('OK')	application/javascript	date:Sun,%2018%20Jun%202017%2005:19:54%20GMT	http://mvcsoftonline.com/html/the-factory/js/owl.carousel.min.js	C:/Users/Everest%20IT/Desktop/Factory/mvcsoftonline.com/html/the-factory/js/owl.carousel.min.js	(from http://mvcsoftonline.com/html/the-factory/index-one.html)
11:49:03	18028/18028	---M--	200	added ('OK')	text/html	date:Mon,%2025%20Jul%202016%2007:43:02%20GMT	http://mvcsoftonline.com/html/the-factory/fonts/glyphicons-halflings-regular.woff2	C:/Users/Everest%20IT/Desktop/Factory/mvcsoftonline.com/html/the-factory/fonts/glyphicons-halflings-regular.html	(from http://mvcsoftonline.com/html/the-factory/css/bootstrap.min.css)
11:49:05	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2025%20Jul%202016%2007:43:02%20GMT	http://mvcsoftonline.com/html/the-factory/fonts/glyphicons-halflings-regular.eot	C:/Users/Everest%20IT/Desktop/Factory/mvcsoftonline.com/html/the-factory/fonts/glyphicons-halflings-regular.eot	(from http://mvcsoftonline.com/html/the-factory/css/bootstrap.min.css)
11:49:07	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2025%20Jul%202016%2007:43:02%20GMT	http://mvcsoftonline.com/html/the-factory/fonts/glyphicons-halflings-regular.eot?	C:/Users/Everest%20IT/Desktop/Factory/mvcsoftonline.com/html/the-factory/fonts/glyphicons-halflings-regulard41d.eot	(from http://mvcsoftonline.com/html/the-factory/css/bootstrap.min.css)
11:49:08	108738/108738	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2025%20Jul%202016%2007:43:02%20GMT	http://mvcsoftonline.com/html/the-factory/fonts/glyphicons-halflings-regular.svg	C:/Users/Everest%20IT/Desktop/Factory/mvcsoftonline.com/html/the-factory/fonts/glyphicons-halflings-regular.svg	(from http://mvcsoftonline.com/html/the-factory/css/bootstrap.min.css)
11:49:08	23424/23424	---M--	200	added ('OK')	application/x-font-woff	date:Mon,%2025%20Jul%202016%2007:43:02%20GMT	http://mvcsoftonline.com/html/the-factory/fonts/glyphicons-halflings-regular.woff	C:/Users/Everest%20IT/Desktop/Factory/mvcsoftonline.com/html/the-factory/fonts/glyphicons-halflings-regular.woff	(from http://mvcsoftonline.com/html/the-factory/css/bootstrap.min.css)
11:49:09	5966/5966	---M--	200	added ('OK')	text/css	date:Tue,%2020%20Mar%202018%2012:20:05%20GMT	http://mvcsoftonline.com/html/the-factory/css/flaticon.css	C:/Users/Everest%20IT/Desktop/Factory/mvcsoftonline.com/html/the-factory/css/flaticon.css	(from http://mvcsoftonline.com/html/the-factory/css/style.css)
11:49:10	38704/38704	---M--	200	added ('OK')	text/css	date:Tue,%2020%20Mar%202018%2012:20:20%20GMT	http://mvcsoftonline.com/html/the-factory/css/font-awesome.min.css	C:/Users/Everest%20IT/Desktop/Factory/mvcsoftonline.com/html/the-factory/css/font-awesome.min.css	(from http://mvcsoftonline.com/html/the-factory/css/style.css)
11:49:11	74472/74472	---M--	200	added ('OK')	text/css	date:Tue,%2020%20Mar%202018%2012:18:39%20GMT	http://mvcsoftonline.com/html/the-factory/css/animate.min.css	C:/Users/Everest%20IT/Desktop/Factory/mvcsoftonline.com/html/the-factory/css/animate.min.css	(from http://mvcsoftonline.com/html/the-factory/css/style.css)
11:49:12	3224/3224	---M--	200	added ('OK')	text/css	date:Wed,%2021%20Mar%202018%2004:07:33%20GMT	http://mvcsoftonline.com/html/the-factory/css/VideoPopUp.css	C:/Users/Everest%20IT/Desktop/Factory/mvcsoftonline.com/html/the-factory/css/VideoPopUp.css	(from http://mvcsoftonline.com/html/the-factory/css/style.css)
11:49:12	45404/45404	---M--	200	added ('OK')	application/x-font-ttf	date:Mon,%2025%20Jul%202016%2007:43:02%20GMT	http://mvcsoftonline.com/html/the-factory/fonts/glyphicons-halflings-regular.ttf	C:/Users/Everest%20IT/Desktop/Factory/mvcsoftonline.com/html/the-factory/fonts/glyphicons-halflings-regular.ttf	(from http://mvcsoftonline.com/html/the-factory/css/bootstrap.min.css)
11:49:13	3644/3644	---M--	200	added ('OK')	text/css	date:Wed,%2021%20Mar%202018%2004:05:44%20GMT	http://mvcsoftonline.com/html/the-factory/css/owl.carousel.min.css	C:/Users/Everest%20IT/Desktop/Factory/mvcsoftonline.com/html/the-factory/css/owl.carousel.min.css	(from http://mvcsoftonline.com/html/the-factory/css/style.css)
11:49:13	1281/1281	---M--	200	added ('OK')	text/css	date:Wed,%2021%20Mar%202018%2004:06:23%20GMT	http://mvcsoftonline.com/html/the-factory/css/owl.theme.default.css	C:/Users/Everest%20IT/Desktop/Factory/mvcsoftonline.com/html/the-factory/css/owl.theme.default.css	(from http://mvcsoftonline.com/html/the-factory/css/style.css)
11:49:13	3913/3913	---M--	200	added ('OK')	text/css	date:Wed,%2021%20Mar%202018%2004:05:30%20GMT	http://mvcsoftonline.com/html/the-factory/css/lightbox.min.css	C:/Users/Everest%20IT/Desktop/Factory/mvcsoftonline.com/html/the-factory/css/lightbox.min.css	(from http://mvcsoftonline.com/html/the-factory/css/style.css)
11:49:14	1524/1524	---M--	200	added ('OK')	text/css	date:Tue,%2020%20Mar%202018%2012:19:01%20GMT	http://mvcsoftonline.com/html/the-factory/css/bootstrap-dropdownhover.css	C:/Users/Everest%20IT/Desktop/Factory/mvcsoftonline.com/html/the-factory/css/bootstrap-dropdownhover.css	(from http://mvcsoftonline.com/html/the-factory/css/style.css)
11:49:15	47902/47902	---M--	200	added ('OK')	text/css	date:Sat,%2024%20Mar%202018%2010:46:29%20GMT	http://mvcsoftonline.com/html/the-factory/css/element.css	C:/Users/Everest%20IT/Desktop/Factory/mvcsoftonline.com/html/the-factory/css/element.css	(from http://mvcsoftonline.com/html/the-factory/css/style.css)
11:49:18	16833/16833	---M--	200	added ('OK')	image/gif	date:Tue,%2027%20Mar%202018%2005:39:57%20GMT	http://mvcsoftonline.com/html/the-factory/images/loading.gif	C:/Users/Everest%20IT/Desktop/Factory/mvcsoftonline.com/html/the-factory/images/loading.gif	(from http://mvcsoftonline.com/html/the-factory/css/style.css)
11:49:31	109268/109268	---M--	200	added ('OK')	image/jpeg	date:Tue,%2027%20Mar%202018%2010:44:48%20GMT	http://mvcsoftonline.com/html/the-factory/images/bg/5.jpg	C:/Users/Everest%20IT/Desktop/Factory/mvcsoftonline.com/html/the-factory/images/bg/5.jpg	(from http://mvcsoftonline.com/html/the-factory/css/style.css)
11:49:39	138773/138773	---M--	200	added ('OK')	image/jpeg	date:Sun,%2025%20Mar%202018%2006:22:28%20GMT	http://mvcsoftonline.com/html/the-factory/images/slider/3.jpg	C:/Users/Everest%20IT/Desktop/Factory/mvcsoftonline.com/html/the-factory/images/slider/3.jpg	(from http://mvcsoftonline.com/html/the-factory/css/style.css)
